purchase_date,selling_date,purchase_price,selling_price
2021-03-08,2021-03-09,100,103.3345822405395
2021-03-08,2021-03-09,100,103.75614845729615
2021-03-05,2021-03-09,100,98.52852548473875
2021-03-08,2021-03-09,100,98.48839457220538
2021-03-05,2021-03-09,100,98.70325863013947
2021-03-08,2021-03-09,100,96.2708631255398
2021-03-08,2021-03-09,100,96.99030078312887
2021-03-05,2021-03-09,100,97.68500257896171
2021-03-08,2021-03-09,100,102.01505473921794
2021-03-05,2021-03-09,100,92.90161838179397
2021-03-08,2021-03-09,100,102.43818220963816
2021-03-08,2021-03-09,100,98.71037076840409
2021-03-08,2021-03-09,100,96.43737491252234
2021-03-05,2021-03-09,100,98.48000720835616
2021-03-08,2021-03-09,100,98.68450835496971
2021-03-05,2021-03-09,100,98.44113627128662
2021-03-08,2021-03-09,100,105.58042041243392
2021-03-05,2021-03-09,100,98.98790386338482
2021-03-08,2021-03-09,100,103.99137218537706
2021-03-04,2021-03-09,100,104.20382949183222
2021-03-01,2021-03-09,100,102.77195953473863
2021-03-08,2021-03-09,100,104.1922216610145
2021-03-05,2021-03-09,100,102.6947049571853
2021-03-05,2021-03-09,100,102.98713235294117
2021-03-08,2021-03-09,100,98.24878534834711
2021-03-08,2021-03-09,100,97.69807544012207
2021-03-08,2021-03-09,100,108.07982874641222
2021-03-08,2021-03-09,100,104.06149791346364
2021-03-08,2021-03-09,100,103.72125994400567
2021-03-08,2021-03-09,100,106.1790156841536
2021-03-08,2021-03-09,100,104.2687559354226
2021-03-04,2021-03-09,100,102.98178716779903
2021-03-05,2021-03-09,100,98.96888348659651
2021-03-08,2021-03-09,100,97.07412925206768
2021-03-04,2021-03-09,100,103.00590137603167
2021-03-05,2021-03-09,100,104.92663434597671
2021-03-05,2021-03-09,100,102.33283767642543
2021-03-08,2021-03-09,100,102.91688515993707
2021-03-04,2021-03-09,100,97.80764713558659
2021-03-05,2021-03-09,100,102.03833777811167
2021-03-08,2021-03-09,100,98.97431195814734
2021-03-04,2021-03-09,100,103.15496504423311
2021-03-08,2021-03-09,100,98.11226866766452
2021-03-05,2021-03-09,100,102.09626179930086
2021-03-04,2021-03-09,100,106.37738702203963
2021-03-05,2021-03-09,100,103.31986464766582
2021-03-05,2021-03-09,100,97.41616648711502
2021-03-08,2021-03-10,100,102.72543192135603
2021-03-05,2021-03-10,100,103.84800406126482
2021-03-09,2021-03-10,100,102.82961842641045
2021-03-09,2021-03-10,100,96.8092820884699
2021-03-05,2021-03-10,100,102.92972751485352
2021-03-08,2021-03-10,100,102.82849239280776
2021-03-05,2021-03-10,100,102.76834682684775
2021-03-05,2021-03-10,100,102.68722441831943
2021-03-08,2021-03-10,100,103.12276406899528
2021-03-05,2021-03-10,100,103.60368685813472
2021-03-08,2021-03-10,100,102.77067379736292
2021-03-09,2021-03-10,100,102.03596314469858
2021-03-09,2021-03-10,100,103.5600695738601
2021-03-09,2021-03-10,100,105.92518674801848
2021-03-05,2021-03-10,100,102.16392149127134
2021-03-09,2021-03-10,100,102.64154422512155
2021-03-03,2021-03-10,100,98.77525504888347
2021-03-09,2021-03-10,100,98.54403542346805
2021-03-04,2021-03-10,100,102.22832088472713
2021-03-09,2021-03-10,100,106.38740731104461
2021-03-09,2021-03-10,100,97.7146814404432
2021-03-09,2021-03-10,100,105.04239178937974
2021-03-05,2021-03-10,100,104.01597478360604
2021-03-05,2021-03-10,100,102.04609012708414
2021-03-09,2021-03-10,100,102.55600712054547
2021-03-09,2021-03-10,100,98.64286348698819
2021-03-09,2021-03-10,100,98.44809256216604
2021-03-09,2021-03-10,100,98.71386731185532
2021-03-05,2021-03-10,100,104.8171439870361
2021-03-09,2021-03-10,100,102.93890852503289
2021-03-08,2021-03-10,100,102.08859281087443
2021-03-09,2021-03-10,100,102.49657469097406
2021-03-05,2021-03-10,100,102.75883647663026
2021-03-08,2021-03-10,100,98.46680601397583
2021-03-09,2021-03-10,100,104.48308748285775
2021-03-05,2021-03-10,100,102.95423659176386
2021-03-09,2021-03-10,100,98.7948294180144
2021-03-09,2021-03-10,100,102.48165443629087
2021-03-05,2021-03-10,100,102.20433179244792
2021-03-05,2021-03-10,100,103.19635625486019
2021-03-08,2021-03-11,100,104.63544374675038
2021-03-08,2021-03-11,100,104.47593075646193
2021-03-09,2021-03-11,100,103.05814726866234
2021-03-09,2021-03-11,100,102.41312403247385
2021-03-09,2021-03-11,100,106.38199831042164
2021-03-10,2021-03-11,100,102.88389513108613
2021-03-10,2021-03-11,100,102.56910350393436
2021-03-03,2021-03-11,100,109.6840354767184
2021-03-10,2021-03-11,100,98.69460399284532
2021-03-09,2021-03-11,100,103.71354806621413
2021-03-09,2021-03-11,100,103.39775441029198
2021-03-10,2021-03-11,100,103.57017888577258
2021-03-05,2021-03-11,100,102.55343422414673
2021-03-09,2021-03-11,100,104.50241621812752
2021-03-05,2021-03-11,100,102.12351944086228
2021-03-09,2021-03-11,100,106.56062805615029
2021-03-09,2021-03-11,100,105.45292418632602
2021-03-10,2021-03-11,100,102.71460014673515
2021-03-10,2021-03-11,100,108.26364280652018
2021-03-10,2021-03-11,100,98.53360188642169
2021-03-10,2021-03-11,100,104.01307377861015
2021-03-10,2021-03-11,100,102.67590423965332
2021-03-05,2021-03-11,100,103.83378404318732
2021-03-10,2021-03-11,100,104.78586171310631
2021-03-09,2021-03-11,100,102.70504121316999
2021-03-09,2021-03-11,100,104.71827446881218
2021-03-10,2021-03-11,100,102.45015338222936
2021-03-10,2021-03-11,100,98.3255110719123
2021-03-10,2021-03-11,100,106.16292782378692
2021-03-10,2021-03-11,100,98.01599013491602
2021-03-09,2021-03-11,100,103.10171326667093
2021-03-10,2021-03-11,100,102.27834917328474
2021-03-09,2021-03-11,100,102.36268794108621
2021-03-10,2021-03-11,100,104.64441440434204
2021-03-09,2021-03-11,100,102.35917901938427
2021-03-11,2021-03-12,100,97.59288280712485
2021-03-11,2021-03-12,100,97.50137131400254
2021-03-10,2021-03-12,100,103.18143918618121
2021-03-11,2021-03-12,100,103.48325151602656
2021-03-11,2021-03-12,100,103.60393156170369
2021-03-10,2021-03-12,100,102.35031847133757
2021-03-11,2021-03-12,100,98.94433151924466
2021-03-11,2021-03-12,100,104.48274119371304
2021-03-08,2021-03-12,100,104.15545458111986
2021-03-05,2021-03-12,100,103.67714080727563
2021-03-11,2021-03-12,100,97.58299471968976
2021-03-10,2021-03-12,100,97.96414153835082
2021-03-11,2021-03-12,100,96.45049456061291
2021-03-09,2021-03-12,100,98.28539535235717
2021-03-11,2021-03-12,100,98.93020189329386
2021-03-09,2021-03-12,100,102.73150149304632
2021-03-09,2021-03-12,100,102.39520958083833
2021-03-09,2021-03-12,100,102.36127924326455
2021-03-05,2021-03-12,100,103.68470892674648
2021-03-11,2021-03-12,100,98.61029411764707
2021-03-11,2021-03-12,100,106.82142857142858
2021-03-09,2021-03-12,100,102.49234883908778
2021-03-11,2021-03-12,100,97.52508245396861
2021-03-11,2021-03-12,100,98.50130802997384
2021-03-11,2021-03-12,100,97.46758401693569
2021-03-11,2021-03-12,100,97.53233631017754
2021-03-11,2021-03-12,100,102.76816846498092
2021-03-05,2021-03-12,100,103.82116574806786
2021-03-11,2021-03-12,100,102.24198000090495
2021-03-09,2021-03-12,100,102.66360607242373
2021-03-08,2021-03-12,100,102.83709120325956
2021-03-09,2021-03-12,100,103.45206607288628
2021-03-04,2021-03-12,100,103.08942098123791
2021-03-09,2021-03-12,100,102.32703740111408
2021-03-10,2021-03-12,100,103.05037970719484
2021-03-08,2021-03-12,100,102.07248876666584
2021-03-09,2021-03-15,100,103.32340132936054
2021-03-12,2021-03-15,100,104.67322557976107
2021-03-08,2021-03-15,100,102.98724216249991
2021-03-12,2021-03-15,100,102.63859378018157
2021-03-10,2021-03-15,100,98.41149802406797
2021-03-10,2021-03-15,100,103.40352925328902
2021-03-12,2021-03-15,100,102.78164190323702
2021-03-12,2021-03-15,100,98.25921541647881
2021-03-11,2021-03-15,100,102.02749771663242
2021-03-08,2021-03-15,100,98.03836055752322
2021-03-05,2021-03-15,100,102.62153549725804
2021-03-12,2021-03-15,100,98.9693273468602
2021-03-11,2021-03-15,100,102.21607782059756
2021-03-11,2021-03-15,100,102.32103885332158
2021-03-05,2021-03-15,100,103.60778387599198
2021-03-12,2021-03-15,100,104.17754082469615
2021-03-09,2021-03-15,100,103.52068136779526
2021-03-10,2021-03-15,100,102.10062679993224
2021-03-05,2021-03-15,100,103.14858353651456
2021-03-12,2021-03-15,100,98.67751402355213
2021-03-09,2021-03-15,100,103.82027952988157
2021-03-10,2021-03-15,100,102.69943687052647
2021-03-09,2021-03-15,100,102.39514386059705
2021-03-11,2021-03-15,100,103.02118233151599
2021-03-05,2021-03-15,100,102.9445073612684
2021-03-10,2021-03-15,100,98.14236711340696
2021-03-12,2021-03-15,100,103.2894833019721
2021-03-10,2021-03-15,100,102.09031670602965
2021-03-11,2021-03-15,100,102.24031345126767
2021-03-11,2021-03-15,100,102.55855397148675
2021-03-12,2021-03-15,100,103.46007078316231
2021-03-09,2021-03-15,100,102.80869234450347
2021-03-11,2021-03-15,100,102.14216683745076
2021-03-09,2021-03-15,100,102.05953772821299
2021-03-12,2021-03-15,100,98.58780691826995
2021-03-09,2021-03-15,100,103.48374672852725
2021-03-12,2021-03-15,100,103.08315795109615
2021-03-08,2021-03-15,100,102.22347668501759
2021-03-12,2021-03-15,100,102.73026846848559
2021-03-12,2021-03-16,100,103.27261198726139
2021-03-11,2021-03-16,100,105.1505082602002
2021-03-15,2021-03-16,100,97.6153504880213
2021-03-12,2021-03-16,100,98.93962119362378
2021-03-15,2021-03-16,100,94.83048002685464
2021-03-15,2021-03-16,100,98.23980323836852
2021-03-12,2021-03-16,100,97.64744864148443
2021-03-12,2021-03-16,100,96.74470349230917
2021-03-10,2021-03-16,100,102.1324788685708
2021-03-10,2021-03-16,100,94.061922435652
2021-03-15,2021-03-16,100,97.38926684309767
2021-03-11,2021-03-16,100,96.59050164607712
2021-03-10,2021-03-16,100,96.65681958603645
2021-03-04,2021-03-16,100,95.79488255033559
2021-03-12,2021-03-16,100,97.74055073774989
2021-03-15,2021-03-16,100,97.28269215300578
2021-03-15,2021-03-16,100,98.5026584964593
2021-03-15,2021-03-16,100,96.93090935350509
2021-03-15,2021-03-16,100,97.4899263582048
2021-03-15,2021-03-16,100,98.00295932035745
2021-03-10,2021-03-16,100,98.97566733940063
2021-03-15,2021-03-16,100,97.82250089167019
2021-03-09,2021-03-16,100,102.14845075934555
2021-03-15,2021-03-16,100,97.08150666547373
2021-03-15,2021-03-16,100,96.0772503105824
2021-03-11,2021-03-16,100,96.24901806755696
2021-03-10,2021-03-16,100,97.28122344944775
2021-03-12,2021-03-16,100,103.75400619975832
2021-03-15,2021-03-16,100,98.60947694940634
2021-03-12,2021-03-16,100,103.67477365524587
2021-03-11,2021-03-16,100,98.92579212273151
2021-03-10,2021-03-16,100,98.23281712801342
2021-03-10,2021-03-16,100,98.41549566912417
2021-03-15,2021-03-16,100,96.12802782158599
2021-03-11,2021-03-16,100,98.03238145274449
2021-03-15,2021-03-16,100,98.1063393315049
2021-03-12,2021-03-16,100,98.76969802263706
2021-03-15,2021-03-16,100,98.24327740310781
2021-03-12,2021-03-16,100,104.01135414927367
2021-03-15,2021-03-16,100,97.24463199702123
2021-03-11,2021-03-16,100,98.97032011793232
2021-03-12,2021-03-16,100,102.60337029179843
2021-03-10,2021-03-17,100,102.03316006167836
2021-03-16,2021-03-17,100,97.14731523563097
2021-03-16,2021-03-17,100,97.61078437655596
2021-03-16,2021-03-17,100,98.50017043517781
2021-03-16,2021-03-17,100,102.40707964601769
2021-03-16,2021-03-17,100,102.72140067429984
2021-03-09,2021-03-17,100,102.37949092998655
2021-03-16,2021-03-17,100,103.99049881235155
2021-03-16,2021-03-17,100,103.59352262018476
2021-03-12,2021-03-17,100,98.56904057752712
2021-03-16,2021-03-17,100,104.17533296843642
2021-03-16,2021-03-17,100,98.313897963792
2021-03-15,2021-03-17,100,103.52555355217416
2021-03-15,2021-03-17,100,98.76588465298143
2021-03-15,2021-03-17,100,95.26200724192115
2021-03-16,2021-03-17,100,103.28357039300965
2021-03-16,2021-03-17,100,103.7117903930131
2021-03-10,2021-03-17,100,102.6629012042076
2021-03-11,2021-03-17,100,102.06867820409502
2021-03-16,2021-03-17,100,102.36206394193839
2021-03-15,2021-03-17,100,104.94464600555007
2021-03-16,2021-03-17,100,102.392360599878
2021-03-15,2021-03-17,100,98.2264340104552
2021-03-15,2021-03-17,100,102.14003157033909
2021-03-15,2021-03-17,100,98.92370753296953
2021-03-16,2021-03-17,100,96.2747716989202
2021-03-15,2021-03-17,100,98.12996176420057
2021-03-16,2021-03-17,100,98.53862538719017
2021-03-15,2021-03-17,100,98.66883597101021
2021-03-12,2021-03-18,100,98.60274750560565
2021-03-12,2021-03-18,100,98.7535888880267
2021-03-17,2021-03-18,100,98.05720873710779
2021-03-10,2021-03-18,100,97.65694878204457
2021-03-09,2021-03-18,100,97.78165023016246
2021-03-11,2021-03-18,100,97.76342968140843
2021-03-16,2021-03-18,100,92.65291732769259
2021-03-17,2021-03-18,100,97.71863117870723
2021-03-17,2021-03-18,100,95.33548895514626
2021-03-17,2021-03-18,100,96.56474430114935
2021-03-17,2021-03-18,100,97.1741826013183
2021-03-16,2021-03-18,100,95.72021398930053
2021-03-11,2021-03-18,100,98.74318969787022
2021-03-10,2021-03-18,100,98.15331949493675
2021-03-17,2021-03-18,100,94.1398067384719
2021-03-16,2021-03-18,100,91.57035635146566
2021-03-16,2021-03-18,100,95.10487824867064
2021-03-17,2021-03-18,100,96.5449124114797
2021-03-12,2021-03-18,100,93.86680606152055
2021-03-16,2021-03-18,100,96.72506267416426
2021-03-17,2021-03-18,100,95.82869952800863
2021-03-16,2021-03-18,100,92.72374556250892
2021-03-16,2021-03-18,100,94.34480633207303
2021-03-16,2021-03-18,100,98.69026478568269
2021-03-16,2021-03-18,100,102.61263526475572
2021-03-17,2021-03-18,100,97.94867796667313
2021-03-16,2021-03-18,100,94.80591292807904
2021-03-17,2021-03-18,100,98.78929762459721
2021-03-17,2021-03-18,100,97.14329071664328
2021-03-16,2021-03-18,100,95.19145752567503
2021-03-15,2021-03-18,100,98.39972463681016
2021-03-17,2021-03-18,100,96.16842105263159
2021-03-16,2021-03-18,100,102.2179594772809
2021-03-16,2021-03-18,100,96.44691780821918
2021-03-15,2021-03-18,100,97.21317557818362
2021-03-17,2021-03-18,100,96.93745776207587
2021-03-15,2021-03-18,100,98.70701868164389
2021-03-11,2021-03-18,100,96.17136525914071
2021-03-12,2021-03-18,100,98.84762547828045
2021-03-15,2021-03-18,100,98.1798179817982
2021-03-17,2021-03-18,100,98.04747212966392
2021-03-17,2021-03-18,100,96.54481064247624
2021-03-16,2021-03-18,100,98.78806495605836
2021-03-16,2021-03-18,100,98.17716307159098
2021-03-16,2021-03-18,100,98.4856741644628
2021-03-17,2021-03-18,100,97.87484811664642
2021-03-15,2021-03-18,100,98.74256338590536
2021-03-17,2021-03-18,100,96.83443424718926
2021-03-17,2021-03-18,100,98.51690151401588
2021-03-17,2021-03-19,100,97.68139347098858
2021-03-18,2021-03-19,100,102.4390243902439
2021-03-18,2021-03-19,100,102.44074991156704
2021-03-18,2021-03-19,100,97.47715119623341
2021-03-12,2021-03-19,100,103.05246126081275
2021-03-18,2021-03-19,100,98.01208865010074
2021-03-15,2021-03-19,100,104.37932851550738
2021-03-18,2021-03-19,100,97.21320765188538
2021-03-15,2021-03-19,100,98.65947868761585
2021-03-05,2021-03-19,100,98.67926158143085
2021-03-18,2021-03-19,100,104.9425029997187
2021-03-18,2021-03-19,100,98.43101061375172
2021-03-18,2021-03-19,100,98.54119278005952
2021-03-12,2021-03-19,100,98.95891637747677
2021-03-12,2021-03-19,100,98.11270600744285
2021-03-15,2021-03-19,100,98.84520851400353
2021-03-16,2021-03-19,100,98.18922944265893
2021-03-12,2021-03-19,100,97.84694403501317
2021-03-10,2021-03-19,100,98.51856395785728
2021-03-16,2021-03-19,100,102.75084641428131
2021-03-18,2021-03-19,100,102.9356870674236
2021-03-04,2021-03-19,100,103.64461462100263
2021-03-18,2021-03-19,100,103.4224064018291
2021-03-18,2021-03-19,100,98.85564846586934
2021-03-16,2021-03-19,100,98.83276364096722
2021-03-18,2021-03-19,100,98.8042179104811
2021-03-18,2021-03-19,100,98.9235514191579
2021-03-18,2021-03-19,100,98.74718683446922
2021-03-16,2021-03-19,100,97.6057676186218
2021-03-18,2021-03-19,100,98.32954178548631
2021-03-16,2021-03-19,100,97.94511805998724
2021-03-15,2021-03-19,100,97.03881361438647
2021-03-12,2021-03-19,100,95.95789170889297
2021-03-18,2021-03-19,100,98.75606928001635
2021-03-18,2021-03-22,100,102.64560695191385
2021-03-19,2021-03-22,100,94.88950276243094
2021-03-19,2021-03-22,100,97.55872607901249
2021-03-18,2021-03-22,100,102.73712021136063
2021-03-19,2021-03-22,100,102.34210194183511
2021-03-16,2021-03-22,100,104.33363985503325
2021-03-18,2021-03-22,100,102.69609379898428
2021-03-15,2021-03-22,100,103.61375016855179
2021-03-18,2021-03-22,100,98.48216839577003
2021-03-19,2021-03-22,100,98.62927220992142
2021-03-18,2021-03-22,100,98.02199436069263
2021-03-18,2021-03-22,100,104.1726589831234
2021-03-16,2021-03-22,100,98.92597019194427
2021-03-19,2021-03-22,100,98.7211104612764
2021-03-18,2021-03-22,100,103.0436475581763
2021-03-16,2021-03-22,100,102.9271064232928
2021-03-17,2021-03-22,100,102.22264478739449
2021-03-18,2021-03-22,100,102.05967883114782
2021-03-18,2021-03-22,100,98.11372334609075
2021-03-18,2021-03-22,100,98.22679509632223
2021-03-18,2021-03-22,100,104.41455836662227
2021-03-18,2021-03-22,100,102.37394512531274
2021-03-18,2021-03-22,100,103.38984220771152
2021-03-18,2021-03-22,100,102.7905785970302
2021-03-18,2021-03-22,100,103.01243226012113
2021-03-18,2021-03-22,100,102.05765508811247
2021-03-18,2021-03-22,100,96.94095969224485
2021-03-10,2021-03-22,100,102.65304712861561
2021-03-19,2021-03-22,100,103.77980170422572
2021-03-19,2021-03-22,100,98.94448788115717
2021-03-18,2021-03-22,100,102.76843242169558
2021-03-19,2021-03-22,100,98.14351140037138
2021-03-18,2021-03-23,100,102.55167702060726
2021-03-17,2021-03-23,100,97.41471481317805
2021-03-17,2021-03-23,100,96.93589727402431
2021-03-19,2021-03-23,100,96.41001417099669
2021-03-22,2021-03-23,100,92.17612809315865
2021-03-19,2021-03-23,100,95.57352336576675
2021-03-18,2021-03-23,100,97.7487594672238
2021-03-22,2021-03-23,100,98.23825798950003
2021-03-12,2021-03-23,100,103.39034391045769
2021-03-09,2021-03-23,100,103.75009904899066
